state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
PA,All,PAAll,9,0.99,0.99,1,1,0.99,0.99
MS,All,MSAll,9,0.99,0.99,1,1,0.99,0.99
GA,All,GAAll,9,0.99,0.99,1,1,0.99,0.99
RI,All,RIAll,Ungraded,1,1,1,1,1,1
IA,All,IAAll,4,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,8,0.99,0.99,1,1,0.99,0.99
WI,All,WIAll,Ungraded,1,1,1,1,1,1
CO,All,COAll,5,0.97,0.97,1,1,0.97,0.97
NH,All,NHAll,8,0.99,0.99,1,1,0.99,0.99
IA,All,IAAll,2,0.94,0.94,1,1,0.94,0.94
SD,All,SDAll,3,0.94,0.94,1,1,0.94,0.94
OR,All,ORAll,7,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,3,0.94,0.94,1,1,0.94,0.94
MD,All,MDAll,8,0.99,0.99,1,1,0.99,0.99
NH,All,NHAll,4,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,3,0.94,0.94,1,1,0.94,0.94
IA,All,IAAll,7,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,8,0.99,0.99,1,1,0.99,0.99
KY,All,KYAll,9,0.99,0.99,1,1,0.99,0.99
