classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
10052,12.9,0,0,0,s,1000
12467,0.246,0.31,–,5/A,s,1000
51210,0.091,1.46,–,5/A,s,1000
46590,93.8,1.0,2/A,–,t,1
46882,0.122,1.0,4/A,–,t,1
98156,1.0,1.0,0,0,p,1000
60035,34.2,0,0,0,a,1000
44104,0.64,0,0,0,o,1000
99946,6.98,2.58,0,0,p,1000
44106,3.98,1.0,2/A,–,o,1000
52401,0.236,0.7,–,3/A,s,1000
56911,0.144,0.39,–,1/B,s,1000
95306,5.65,0,0,0,p,1000
10204,0.33,0,0,0,s,1000
48178,1.0,1.0,0,–,s,1000
52075,0.176,0.167,0,0,s,1000
11206,0.64,0,0,0,s,1000
51553,0.097,0.36,–,4/A,s,1000
99507,5.19,0,0,0,p,1000
97503,1.0,1.0,0,–,t,1
51358,0.47,0.094,0,0,s,1000
97504,1.0,1.0,0,–,t,1
51613,0.078,0.1,0,0,s,1000
13049,0.059,0.042,0,0,s,1000
99777,6.5,0,0,0,p,1000
98993,5.73,3.92,0,0,p,1000
12375,0.45,0.055,0,0,s,1000
53001,0.188,0.213,0,0,s,1000
91589,1.67,0.57,4/C,2/A,c,1000
41715,9.1,0,0,0,t,1
16750,0.154,0.036,0,0,s,1000
16588,0.138,1.0,–,0,s,1000
50018,0.076,1.0,–,0,s,1000
45523,144,1.0,3/A,–,t,1
51005,0.011,1.0,–,0,s,1000
53374,0.116,0.145,0,0,s,1000
61224,27.3,0,0,0,a,1000
11039,1.01,0.085,0,0,s,1000
16915,2.42,0.061,0,0,s,1000
49801,373,0,0,0,a,1000
99953,5.94,10,0,0,p,1000
66123,7.18,0,0,0,a,1000
15404,0.1,0.151,–,4/A,s,1000
95487,2.39,1.0,–,0,p,1000
11155,0.32,0,0,0,s,1000
48727,35.2,1.0,1/C,–,t,1
13453,0.62,0.122,–,5/A,t,1
91280,23.1,2.87,1/A,–,p,1000
54077,0.123,0.3,0,0,s,1000
51625,0.048,1.0,–,0,s,1000
98153,3.69,1.0,–,0,p,1000
91340,4.76,8.69,0,0,p,1000
55410,1.0,1.0,0,0,s,1000
99303,14.1,0,0,0,p,1000
18708,0.169,0.024,0,0,s,1000
15120,3.82,1.0,3/A,–,s,1000
40046,115,0,0,0,t,1
13410,1.59,1.55,0,0,t,1
11234,0.42,0.063,0,0,s,1000
55426,0.18,0.9,–,5/A,s,1000
10066,0.4,0.076,0,0,s,1000
40072,195,1.0,4/A,–,t,1
53951,0.33,0.067,4/A,4/A,s,1000
99613,8.9,2.61,0,0,p,1000
15607,0.162,0,0,0,s,1000
41670,2.66,0,0,0,t,1
46606,7.36,0,0,0,a,1000
40067,1.59,1.0,1/A,–,t,1
18570,2.9,0,0,0,s,1000
97447,2.36,5.91,0,0,p,1000
45771,0.43,0.114,0,0,s,1000
16910,2.36,0.063,0,0,s,1000
98659,1.13,0.43,0,0,p,1000
91551,1.5,0.8,0,0,p,1000
44071,10.6,0,0,0,s,1000
18507,0.28,0.008,0,0,s,1000
41677,0.236,0,0,0,p,1000
50019,0.051,1.0,–,0,s,1000
99955,5.41,10.6,0,0,p,1000
59005,0.068,0.055,0,0,s,1000
44436,55.1,0,0,0,a,1000
99793,3.05,0,0,0,p,1000
59915,0.249,0.51,0,0,s,1000
15405,0.147,0.224,–,2/A,s,1000
44193,146,1.0,2/A,–,t,1
44010,1.0,1.0,0,0,p,1000
59784,0.085,5.58,–,1/A,s,1000
10352,0.88,0.071,0,0,s,1000
63219,18.8,1.0,2/A,–,t,1
11138,6.32,0,0,0,s,1000
56919,0.18,1.0,–,0,s,1000
10012,0.044,0.078,–,4/A,s,1000
67511,14.6,0,0,0,a,1000
51370,0.39,2.16,0,0,s,1000
13930,0.214,0.103,0,0,s,1000
47103,13.8,1.0,5/A,–,a,1000
10255,0.28,0.124,0,0,s,1000
94404,4.38,4.52,0,0,p,1000
51808,0.27,0.43,0,0,s,1000
10210,0.59,1.0,–,0,s,1000
41716,5.79,0,0,0,t,1
15223,0.076,0.032,0,0,s,1000
98871,1.0,1.0,0,0,p,1000
51350,0.177,0.095,0,0,s,1000
