classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0841,Building,"Mas Non-Comb",0.1370,0.137,0.137,0.137,0.137,0.137
0550,ABC,Non-Comb.,0.0000,0,0,0,0,0
0742,ABC,"Fire Res",0.0000,0,0,0,0,0
0582,Contents,Frame,0.1660,0.166,0.166,0.166,0.166,0.166
0563,ABC,Frame,0.0000,0,0,0,0,0
0077,Contents,Frame,0.1240,0.124,0.124,0.124,0.124,0.124
0566,Building,"Joisted Masonry",0.1220,0.122,0.122,0.122,0.122,0.122
2459,Building,"Fire Res",0.0970,0.097,0.097,0.097,0.097,0.097
0913,Contents,"Joisted Masonry",0.1840,0.184,0.184,0.184,0.184,0.184
2350,ABC,Frame,0.0000,0,0,0,0,0
0342,ABC,"Mas Non-Comb",0.0870,0.087,0.087,0.087,0.087,0.087
0562,Building,"Mas Non-Comb",0.0860,0.086,0.086,0.086,0.086,0.086
0341,Contents,"Fire Res",0.0690,0.069,0.069,0.069,0.069,0.069
0932,ABC,Frame,0.0000,0,0,0,0,0
0566,Contents,Non-Comb.,0.1770,0.177,0.177,0.177,0.177,0.177
0570,Contents,"Mas Non-Comb",0.1400,0.14,0.14,0.14,0.14,0.14
0313,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0913,Building,"Fire Res",0.1040,0.104,0.104,0.104,0.104,0.104
0343,ABC,"Fire Res",0.0820,0.082,0.082,0.082,0.082,0.082
0197,Building,"Mas Non-Comb",0.0520,0.052,0.052,0.052,0.052,0.052
0851,ABC,Non-Comb.,0.0000,0,0,0,0,0
1400,Building,"Joisted Masonry",0.2960,0.296,0.296,0.296,0.296,0.296
0321,Contents,"Fire Res",0.1610,0.161,0.161,0.161,0.161,0.161
0582,ABC,"Fire Res",0.1290,0.129,0.129,0.129,0.129,0.129
0533,Building,"Joisted Masonry",0.1320,0.132,0.132,0.132,0.132,0.132
0743,ABC,Frame,0.0000,0,0,0,0,0
0851,Building,Frame,0.0510,0.051,0.051,0.051,0.051,0.051
0922,Building,"Joisted Masonry",0.1040,0.104,0.104,0.104,0.104,0.104
2350,Building,"Mas Non-Comb",0.1630,0.163,0.163,0.163,0.163,0.163
0832,Contents,"Joisted Masonry",0.1450,0.145,0.145,0.145,0.145,0.145
0841,Building,Non-Comb.,0.1680,0.168,0.168,0.168,0.168,0.168
0834,Contents,"Mas Non-Comb",0.1580,0.158,0.158,0.158,0.158,0.158
0702,Contents,"Joisted Masonry",0.1050,0.105,0.105,0.105,0.105,0.105
1212,ABC,Frame,0.0000,0,0,0,0,0
0831,Contents,"Joisted Masonry",0.1230,0.123,0.123,0.123,0.123,0.123
0323,Contents,Non-Comb.,0.1960,0.196,0.196,0.196,0.196,0.196
0567,ABC,Frame,0.0000,0,0,0,0,0
0742,Building,"Mas Non-Comb",0.1410,0.141,0.141,0.141,0.141,0.141
0323,Building,"Fire Res",0.0920,0.092,0.092,0.092,0.092,0.092
0198,Building,Frame,0.0810,0.081,0.081,0.081,0.081,0.081
0545,ABC,"Fire Res",0.0000,0,0,0,0,0
1052,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
1051,Building,Non-Comb.,0.0790,0.079,0.079,0.079,0.079,0.079
0331,ABC,Frame,0.0000,0,0,0,0,0
0074,Building,Frame,0.1310,0.131,0.131,0.131,0.131,0.131
0934,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0074,ABC,Non-Comb.,0.0000,0,0,0,0,0
0746,Contents,Non-Comb.,0.0880,0.088,0.088,0.088,0.088,0.088
0342,ABC,Non-Comb.,0.0990,0.099,0.099,0.099,0.099,0.099
0343,Contents,"Fire Res",0.0690,0.069,0.069,0.069,0.069,0.069
0570,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0322,Building,"Joisted Masonry",0.1400,0.14,0.14,0.14,0.14,0.14
0931,ABC,Non-Comb.,0.0000,0,0,0,0,0
0832,ABC,"Fire Res",0.0000,0,0,0,0,0
0567,Building,"Fire Res",0.0730,0.073,0.073,0.073,0.073,0.073
0323,Contents,Frame,0.2310,0.231,0.231,0.231,0.231,0.231
0545,Contents,"Mas Non-Comb",0.3510,0.351,0.351,0.351,0.351,0.351
0831,ABC,Frame,0.0000,0,0,0,0,0
0520,Contents,Non-Comb.,0.1950,0.195,0.195,0.195,0.195,0.195
0565,Contents,Frame,0.1540,0.154,0.154,0.154,0.154,0.154
0845,Contents,Frame,0.1070,0.107,0.107,0.107,0.107,0.107
0562,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0745,Building,"Mas Non-Comb",0.0610,0.061,0.061,0.061,0.061,0.061
0841,Contents,Non-Comb.,0.1860,0.186,0.186,0.186,0.186,0.186
0581,Building,Frame,0.1290,0.129,0.129,0.129,0.129,0.129
0531,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0570,Contents,Non-Comb.,0.1580,0.158,0.158,0.158,0.158,0.158
0952,Building,"Fire Res",0.0820,0.082,0.082,0.082,0.082,0.082
0321,Building,Frame,0.1550,0.155,0.155,0.155,0.155,0.155
0341,Building,"Fire Res",0.0520,0.052,0.052,0.052,0.052,0.052
0843,Contents,"Joisted Masonry",0.0990,0.099,0.099,0.099,0.099,0.099
0196,Building,"Joisted Masonry",0.0730,0.073,0.073,0.073,0.073,0.073
